,,,,,,,,,,,,
Term,Class Stat,Subject,Catalog#,Section,Class Title,Enrl Cap,Tot Enrl,Days,Mtg Start,Mtg End,Room,Name
1232,Cancelled,LIN, 150.5,0900,"Lang, Race, and Ethn in the US",22,0,,,,,
1232,Active,LIN, 150H,1100,"Lan,Rac,and Eth in theUS(Honor",10,3,W,11:00AM,01:45PM,OL-03,"Delfino,Jennifer"
1232,Cancelled,LIN, 200,0500,Language Acquisition,25,0,,,,,
1232,Cancelled,LIN, 201,1100,Lang in the Helping Profession,22,0,,,,,
1232,Active,LIN, 210,0500,Foundations of Bilingualism,25,11,,,,OL-02,"Finn,Heather Bobrow"
1232,Cancelled,LIN, 220,050W,Language Teaching Practices,25,0,,,,,
1232,Active,LIN, 250,0500,Forensic Linguistics,25,15,,,,OL-02,"Matarese,Maureen"
1232,Active,LIN, 250,0501,Forensic Linguistics,25,14,,,,OL-02,"Bandi-Rao,Shoba"
1232,Cancelled,LIN, 250,0502,Forensic Linguistics,25,0,,,,,
1232,Active,LIN, 250,0505,Forensic Linguistics,25,14,,,,OL-02,"Matarese,Maureen"
1232,Active,LIN, 250,054W,Forensic Linguistics,15,11,,,,OL-02,"Wiseman,Cynthia S"
1232,Cancelled,LIN, 250,1100,Forensic Linguistics,25,0,,,,,
1232,Active,LIN, 250,110W,Forensic Linguistics,25,20,W,11:00AM,01:45PM,FH-407,"Matarese,Maureen"
1232,Active,LIN, 250,111W,Forensic Linguistics,20,15,Tu,11:00AM,01:45PM,MC-N585,"Jacknick,Christine"
1232,Active,LIN, 250,112W,Forensic Linguistics,30,5,W,11:00AM,01:45PM,FH-303,"Bandi-Rao,Shoba"
1232,Cancelled,LIN, 250,1203,Forensic Linguistics,25,0,,,,,
1232,Active,LIN, 250,1400,Forensic Linguistics,15,12,MTh,02:00PM,03:15PM,OL-03,"Bandi-Rao,Shoba"
1232,Cancelled,LIN, 250,1401,Forensic Linguistics,25,0,,,,,
1232,Active,LIN, 250,1600,Forensic Linguistics,25,10,MTh,04:00PM,05:15PM,MU-M208,"Bandi-Rao,Shoba"
1232,Active,LIN, 250,500W,Forensic Linguistics,25,13,W,12:30PM,01:45PM,FH-204,"Jacknick,Christine"
1232,Active,LIN, 250,500W,Forensic Linguistics,25,13,,,,OL-02,
1232,Active,LIN, 250,900W,Forensic Linguistics,1,1,,,,,"Bandi-Rao,Shoba"
1232,Cancelled,LIN, 250H,054W,Forensic Linguistics (Honors),9,0,,,,,
1232,Active,LIN, 250H,1400,Forensic Linguistics (Honors),10,3,MTh,02:00PM,03:15PM,OL-03,"Bandi-Rao,Shoba"
1232,Active,ACL, 150,A050,Literacy in American Society,25,14,,,,OL-02,"McConnell,Shane"
1232,Active,CRT, 100,A050,Critical Thinking,25,20,,,,OL-02,"Yancey,Ann J"
1232,Active,LIN, 150,A050,"Lang, Race, and Ethn in the US",25,11,,,,OL-02,"Fraser,Kyle A"
1232,Active,ACL, 110,B050,Discipl Read in the Humanities,25,3,,,,OL-02,"Robb,Elizabeth"
1232,Active,ACL, 120,B050,Reading for Justice and Law,25,4,,,,OL-02,"Flink,Patrick"
1232,Active,ACL, 150,B050,Literacy in American Society,25,11,,,,OL-02,"Robb,Elizabeth"
1232,Active,ACL, 200,B050,Literacy Practices:Birth-Adole,25,3,,,,OL-02,"McConnell,Shane"
1232,Active,CRT, 100,B050,Critical Thinking,25,23,,,,OL-02,"Sarajlic,Eldar"
1232,Active,CRT, 100,B170,Critical Thinking,30,8,TuTh,05:30PM,08:15PM,FH-407,"Koch,William H."
1232,Active,CRT, 100,B171,Critical Thinking,25,7,W,05:30PM,08:15PM,OL-03,"Prager,Brian"
1232,Active,CRT, 100,B171,Critical Thinking,25,7,,,,OL-02,
1232,Active,CRT, 120,B050,Critical Thnkng & Social Just,25,5,,,,OL-02,"Koch,William H."
1232,Active,CRT, 120,B051,Critical Thnkng & Social Just,25,3,,,,OL-02,"Koch,William H."
1232,Active,CRT, 150,B050,Critical Thnkng & Sci Inquiry,25,4,,,,OL-02,"Sarajlic,Eldar"
1232,Active,CRT, 150,B051,Critical Thnkng & Sci Inquiry,25,4,,,,OL-02,"Smith,Nicholas R"
1232,Active,CRT, 245,B050,Crit Thinking & Media Literacy,25,8,,,,OL-02,"Marcus,Matthew G"
1232,Active,ESL,  94RW,B100,Eng as 2nd Lang Read/Write,25,10,MWTh,10:00AM,12:45PM,OL-03,"Somerville,Leigh"
1232,Active,ESL,  94RW,B100,Eng as 2nd Lang Read/Write,25,10,,,,OL-02,
1232,Active,ESL,  94RW,B500,Eng as 2nd Lang Read/Write,20,12,MW,05:30PM,08:15PM,MC-N490,
1232,Active,ESL,  94RW,B500,Eng as 2nd Lang Read/Write,20,12,TuTh,05:30PM,08:15PM,MC-N781,
1232,Active,ESL,  94RW,B500,Eng as 2nd Lang Read/Write,20,12,,,,OL-02,
1232,Active,ESL,  96,B180,Intensive Reading and Writing,25,9,MTuTh,06:30PM,08:15PM,OL-03,"Neri-Friedwald,Susan Gayle Kellerman"
1232,Active,ESL,  96,B180,Intensive Reading and Writing,25,9,,,,OL-02,
1232,Active,ESL,  96,B500,Intensive Reading and Writing,22,3,MW,05:30PM,08:15PM,MC-N781,"Chan,Yatsen"
1232,Active,ESL,  96,B500,Intensive Reading and Writing,22,3,Th,05:30PM,08:15PM,MC-N794,
1232,Active,ESL,  96,B500,Intensive Reading and Writing,22,3,,,,OL-02,
1232,Active,LIN, 100,B050,Language And Culture,25,15,,,,OL-02,"Wiseman,Cynthia S"
1232,Active,LIN, 125,B050,Language and Religion,25,1,,,,OL-02,"Avni,Sharon"
1232,Active,LIN, 150,B050,"Lang, Race, and Ethn in the US",25,9,,,,OL-02,"Delfino,Jennifer"
1232,Active,LIN, 150,B051,"Lang, Race, and Ethn in the US",25,9,,,,OL-02,"Voorhees,Terry"
1232,Active,LIN, 250,B050,Forensic Linguistics,25,7,,,,OL-02,
1232,Active,CRT, 100,0100,Critical Thinking,25,22,MW,03:30PM,06:30PM,OF-01,"Burris,Troy A"
1232,Active,CRT, 100,3000,Critical Thinking,35,21,TuTh,01:17PM,02:47PM,OF-01,"Burris,Troy A"
1232,Active,CRT, 100,3001,Critical Thinking,35,16,TuTh,01:17PM,02:47PM,OF-01,"Cotton,Kenneth"
1232,Active,CRT, 100,3002,Critical Thinking,24,5,TuTh,01:45PM,03:15PM,FH-501,"Robb,Elizabeth"
